Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
109,25,7,83,7,Some Random Commen with Id 109
110,27,9,76,3,Some Random Commen with Id 110
111,27,9,55,1,Some Random Commen with Id 111
112,27,9,45,9,Some Random Commen with Id 112
113,27,9,138,2,Some Random Commen with Id 113
114,27,9,47,8,Some Random Commen with Id 114
115,27,9,16,8,Some Random Commen with Id 115
116,27,9,191,6,Some Random Commen with Id 116
117,27,9,191,7,Some Random Commen with Id 117
118,27,9,92,0,Some Random Commen with Id 118
119,28,9,144,4,Some Random Commen with Id 119
120,28,9,69,7,Some Random Commen with Id 120
121,28,9,30,5,Some Random Commen with Id 121
122,28,9,122,7,Some Random Commen with Id 122
123,28,9,158,7,Some Random Commen with Id 123
124,28,9,188,4,Some Random Commen with Id 124
125,29,8,183,9,Some Random Commen with Id 125
126,29,8,99,2,Some Random Commen with Id 126
127,29,8,25,5,Some Random Commen with Id 127
128,29,8,101,8,Some Random Commen with Id 128
129,29,8,68,5,Some Random Commen with Id 129
130,29,8,16,6,Some Random Commen with Id 130
131,29,8,144,6,Some Random Commen with Id 131
132,30,6,9,0,Some Random Commen with Id 132
133,30,6,26,0,Some Random Commen with Id 133
134,31,0,80,1,Some Random Commen with Id 134
135,31,0,117,4,Some Random Commen with Id 135
136,31,0,9,9,Some Random Commen with Id 136
137,31,0,10,2,Some Random Commen with Id 137
138,31,0,146,3,Some Random Commen with Id 138
139,31,0,139,9,Some Random Commen with Id 139
140,31,0,139,5,Some Random Commen with Id 140
141,31,0,66,8,Some Random Commen with Id 141
142,31,0,77,4,Some Random Commen with Id 142
143,32,7,13,3,Some Random Commen with Id 143
144,32,7,124,2,Some Random Commen with Id 144
145,32,7,141,6,Some Random Commen with Id 145
146,32,7,110,5,Some Random Commen with Id 146
147,32,7,10,6,Some Random Commen with Id 147
148,32,7,159,5,Some Random Commen with Id 148
149,32,7,168,2,Some Random Commen with Id 149
150,33,7,17,4,Some Random Commen with Id 150
151,33,7,109,1,Some Random Commen with Id 151
152,35,4,74,1,Some Random Commen with Id 152
153,35,4,185,6,Some Random Commen with Id 153
154,36,2,84,5,Some Random Commen with Id 154
155,36,2,57,4,Some Random Commen with Id 155
156,37,3,156,3,Some Random Commen with Id 156
157,37,3,134,3,Some Random Commen with Id 157
158,37,3,73,0,Some Random Commen with Id 158
159,38,4,192,1,Some Random Commen with Id 159
